Year,Position,Position_recoded,Position_group,Winner,League,playerID
1986,SS,SS,INF,Tony Fernandez,AL,fernato01
1986,OF,OF,OUTF,Kirby Puckett,AL,puckeki01
1986,OF2,OF,OUTF,Gary Pettis,AL,pettiga01
1986,OF3,OF,OUTF,Jesse Barfield,AL,barfije01
1986,C,C,C,Bob Boone,AL,boonebo01
1986,P,P,P,Ron Guidry,AL,guidrro01
1987,1B,1B,INF,Don Mattingly,AL,mattido01
1987,2B,2B,INF,Frank White,AL,whitefr01
1987,3B,3B,INF,Gary Gaetti,AL,gaettga01
1987,SS,SS,INF,Tony Fernandez,AL,fernato01
1987,OF,OF,OUTF,Kirby Puckett,AL,puckeki01
1987,OF2,OF,OUTF,Dave Winfield,AL,winfida01
1987,OF3,OF,OUTF,Jesse Barfield,AL,barfije01
1987,C,C,C,Bob Boone,AL,boonebo01
1987,P,P,P,Mark Langston,AL,langsma01
1988,1B,1B,INF,Don Mattingly,AL,mattido01
1988,2B,2B,INF,Harold Reynolds,AL,reynoha01
1988,3B,3B,INF,Gary Gaetti,AL,gaettga01
1988,SS,SS,INF,Tony Fernandez,AL,fernato01
1988,OF,OF,OUTF,Kirby Puckett,AL,puckeki01
1988,OF2,OF,OUTF,Gary Pettis,AL,pettiga01
1988,OF3,OF,OUTF,Devon White,AL,whitede03
1988,C,C,C,Bob Boone,AL,boonebo01
1988,P,P,P,Mark Langston,AL,langsma01
1989,1B,1B,INF,Don Mattingly,AL,mattido01
1989,2B,2B,INF,Harold Reynolds,AL,reynoha01
1989,3B,3B,INF,Gary Gaetti,AL,gaettga01
1989,SS,SS,INF,Tony Fernandez,AL,fernato01
1989,OF,OF,OUTF,Kirby Puckett,AL,puckeki01
1989,OF2,OF,OUTF,Gary Pettis,AL,pettiga01
1989,OF3,OF,OUTF,Devon White,AL,whitede03
1989,C,C,C,Bob Boone,AL,boonebo01
1989,P,P,P,Bret Saberhagen,AL,saberbr01
1990,1B,1B,INF,Mark McGwire,AL,mcgwima01
1990,2B,2B,INF,Harold Reynolds,AL,reynoha01
1990,3B,3B,INF,Kelly Gruber,AL,grubeke01
1990,SS,SS,INF,Ozzie Guillen,AL,guilloz01
1990,OF,OF,OUTF,Gary Pettis,AL,pettiga01
1990,OF2,OF,OUTF,Ellis Burks,AL,burksel01
1990,OF3,OF,OUTF,Ken Griffey,AL,griffke02
1990,C,C,C,Sandy Alomar,AL,alomasa02
1990,P,P,P,Mike Boddicker,AL,boddimi01
1991,1B,1B,INF,Don Mattingly,AL,mattido01
1991,2B,2B,INF,Roberto Alomar,AL,alomaro01
1991,3B,3B,INF,Robin Ventura,AL,venturo01
1991,SS,SS,INF,Cal Ripken,AL,ripkeca01
1991,OF,OF,OUTF,Kirby Puckett,AL,puckeki01
1991,OF2,OF,OUTF,Devon White,AL,whitede03
1991,OF3,OF,OUTF,Ken Griffey,AL,griffke02
1991,C,C,C,Tony Pena,AL,penato01
1991,P,P,P,Mark Langston,AL,langsma01
1992,1B,1B,INF,Don Mattingly,AL,mattido01
1992,2B,2B,INF,Roberto Alomar,AL,alomaro01
1992,3B,3B,INF,Robin Ventura,AL,venturo01
1992,SS,SS,INF,Cal Ripken,AL,ripkeca01
1992,OF,OF,OUTF,Kirby Puckett,AL,puckeki01
1992,OF2,OF,OUTF,Devon White,AL,whitede03
1992,OF3,OF,OUTF,Ken Griffey,AL,griffke02
1992,C,C,C,Ivan Rodriguez,AL,rodriiv01
1992,P,P,P,Mark Langston,AL,langsma01
1993,1B,1B,INF,Don Mattingly,AL,mattido01
1993,2B,2B,INF,Roberto Alomar,AL,alomaro01
1993,3B,3B,INF,Robin Ventura,AL,venturo01
1993,SS,SS,INF,Omar Vizquel,AL,vizquom01
1993,OF,OF,OUTF,Kenny Lofton,AL,loftoke01
1993,OF2,OF,OUTF,Devon White,AL,whitede03
1993,OF3,OF,OUTF,Ken Griffey,AL,griffke02
1993,C,C,C,Ivan Rodriguez,AL,rodriiv01
1993,P,P,P,Mark Langston,AL,langsma01
1994,1B,1B,INF,Don Mattingly,AL,mattido01
1994,2B,2B,INF,Roberto Alomar,AL,alomaro01
1994,3B,3B,INF,Wade Boggs,AL,boggswa01
1994,SS,SS,INF,Omar Vizquel,AL,vizquom01
1994,OF,OF,OUTF,Kenny Lofton,AL,loftoke01
1994,OF2,OF,OUTF,Devon White,AL,whitede03
1994,OF3,OF,OUTF,Ken Griffey,AL,griffke02
1994,C,C,C,Ivan Rodriguez,AL,rodriiv01
1994,P,P,P,Mark Langston,AL,langsma01
1995,1B,1B,INF,J. T. Snow,AL,snowjt01
1995,2B,2B,INF,Roberto Alomar,AL,alomaro01
1995,3B,3B,INF,Wade Boggs,AL,boggswa01
1995,SS,SS,INF,Omar Vizquel,AL,vizquom01
1995,OF,OF,OUTF,Kenny Lofton,AL,loftoke01
1995,OF2,OF,OUTF,Devon White,AL,whitede03
1995,OF3,OF,OUTF,Ken Griffey,AL,griffke02
1995,C,C,C,Ivan Rodriguez,AL,rodriiv01
1995,P,P,P,Mark Langston,AL,langsma01
1996,1B,1B,INF,J. T. Snow,AL,snowjt01
